epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
1,0.8683974742889404,0.949146568775177,0.26089242100715637,0.3509136438369751,0.9504863023757935,0.8812482357025146,0.955694854259491,0.2535964846611023,0.3755769431591034,0.9524660706520081
2,0.87652987241745,0.9528975486755371,0.24592052400112152,0.366472452878952,0.9550049901008606,0.883271336555481,0.9558131694793701,0.24849405884742737,0.37954041361808777,0.9504110217094421
3,0.8782820701599121,0.9537723660469055,0.24347761273384094,0.369735985994339,0.9534924030303955,0.8847870230674744,0.9559420347213745,0.24543410539627075,0.3826209008693695,0.9493387937545776
4,0.8783991932868958,0.9541641473770142,0.24219083786010742,0.37005940079689026,0.9544114470481873,0.8829785585403442,0.9559234380722046,0.24453392624855042,0.37903541326522827,0.9514831900596619
5,0.8783907890319824,0.9541320204734802,0.24247559905052185,0.37008920311927795,0.9548709392547607,0.8842340707778931,0.9559313654899597,0.2429153472185135,0.3814021944999695,0.9488027095794678
6,0.8790361881256104,0.9543824791908264,0.24153995513916016,0.37132492661476135,0.954468846321106,0.8859514594078064,0.9559726715087891,0.2437853068113327,0.3849281370639801,0.9474624991416931
7,0.8788982033729553,0.9545019268989563,0.24117539823055267,0.3711223006248474,0.9551773071289062,0.8851578235626221,0.9559895992279053,0.2430797517299652,0.3833068609237671,0.9482666254043579
8,0.878789484500885,0.954571545124054,0.24100792407989502,0.3708609640598297,0.954717755317688,0.8835640549659729,0.956063985824585,0.24490883946418762,0.38020220398902893,0.950947105884552
9,0.8785901665687561,0.9546497464179993,0.24081747233867645,0.37052851915359497,0.955330491065979,0.8838763236999512,0.9560978412628174,0.24639329314231873,0.38076990842819214,0.9500536322593689
10,0.8788424730300903,0.9548580050468445,0.24052061140537262,0.3710406422615051,0.9554644823074341,0.88299161195755,0.9560004472732544,0.24585296213626862,0.37898486852645874,0.9506790637969971
